host_id,host_response_rate,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
526105,0,1.0,11.0,2.0,30.0,270.0,30.0,30.0,270.0,270.0,0,0,0,0,39.0,0.0,0.0,0,1.0,0,1.0,1.0,0.0,0.0
530032,0,1.0,1.0,4.0,60.0,90.0,60.0,60.0,90.0,90.0,0,0,0,0,36.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0
417504,100,29.0,40.0,6.0,1.0,365.0,1.0,1.0,365.0,365.0,0,0,0,0,8.0,0.0,0.0,0,0.0,0,29.0,15.0,10.0,0.0
220001,0,1.0,2.0,3.0,30.0,31.0,30.0,30.0,31.0,31.0,0,0,0,167,20.3,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
547386,0,2.0,2.0,1.0,30.0,90.0,30.0,30.0,90.0,90.0,30,60,90,90,16.0,0.0,0.0,90,0.0,0,1.0,0.0,1.0,0.0
551055,100,2.0,4.0,1.0,30.0,45.0,30.0,30.0,1125.0,1125.0,0,0,0,173,20.3,5.0,1.0,47,4.0,255,1.0,0.0,1.0,0.0
82685,0,1.0,2.0,1.0,30.0,60.0,30.0,30.0,60.0,60.0,0,0,0,0,3.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0
83257,17,2.0,3.0,2.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,0,0,30,305,36.0,0.0,0.0,138,0.0,0,2.0,0.0,2.0,0.0
11481,56,6.0,13.0,2.0,30.0,60.0,30.0,30.0,60.0,60.0,30,60,90,365,20.3,1.0,0.0,198,1.0,60,4.0,1.0,3.0,0.0
92411,100,1.0,3.0,2.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,23,53,83,358,215.0,0.0,0.0,191,0.0,0,1.0,1.0,0.0,0.0
